"ID","PARENTID","ORDER_NUMBER","OBJ_TYPE","CODE","NAME","MENU_NAME","STATUS","CREATEDATE","UPDATEDATE","CREATEBY","UPDATEBY","APPROVEDDATE","APPROVEDBY","ISSHOWMENU","URL","ICON_FONT","UI_SREF","CHILD_TYPE"
"1220","1040","7","1","CTLNBV_REPORT_07","BC07 - PL1 Phân bổ rừng","BC07 - PL1 Phân bổ rừng","1",,,,,,,"1","/#!/admin/v-2-ctlnbv-report-management/report-07",,"v-2-ctlnbv-report-07",
"1240","920","3.1","1","CTLNBV_KH_DACTHU","Kế hoạch hoạt động đặc thù","Kế hoạch hoạt động đặc thù","1",,,,,,,"1","/#!/admin/v-2-ctlnbv-kh-dac-thu",,"v-2-ctlnbv-kh-dac-thu",
"1260","1160","7","1","BC_TONGHOP_PL07","Phụ lục 07","Phụ lục 07","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-tong-hop-pl/07",,"v-2-ctmtqg-tong-hop-pl-07",
"822","780","3","1","3303","Quản lý dự án","Quản lý dự án","1",,,,,,,"1","/#!/admin/v2-national-target-program-project-manage",,"v2-national-target-program-project-manage",
"824","780","5","1","3305","Kế hoạch hằng năm","Kế hoạch hằng năm","1",,,,,,,"1","/#!/admin/v-2-ke-hoach-nams",,"v-2-ke-hoach-nams",
"825","780","6","3","3306","Thực hiện hằng năm","Thực hiện hằng năm","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-tinh-hinh-thuc-hien",,"v-2-ctmtqg-tinh-hinh-thuc-hien",
"920",,"7.1","1","CTLNBV","CTMTPT LÂM NGHIỆP BỀN VỮNG","CTMTPT LÂM NGHIỆP BỀN VỮNG","1",,,,,,,"1","/#!/admin/ctlnbv-chu-truong-dau-tu-management","fa fa-graduation-cap","ctlnbv-chu-truong-dau-tu-management",
"906","860","7.64","1","TTTTN_BC_04","Phụ lục 04: Tình hình sử dụng kinh phí thực hiện dự án TTTTN","Phụ lục 04: Tình hình sử dụng kinh phí thực hiện dự án TTTTN","1",,,,,,,"1","/#!/admin/v-2-ttttn-report-management/report-04",,"v-2-ttttn-report-04",
"940","780","8","1","CTMTQG_BAOCAO","Báo cáo thống kê","Báo cáo thống kê","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-report-management",,"v-2-ctmtqg-report-management",
"961","940","7.3","1","CTMTQG_BAOCAO_03","Báo cáo 03","Báo cáo 03","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-report-management/report-03",,"v-2-ctmtqg-report-03",
"980","940","7.4","1","CTMTQG_BAOCAO_04","Báo cáo 04","Báo cáo 04","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-report-management/report-04",,"v-2-ctmtqg-report-04",
"1002","940","7.6","1","CTMTQG_BAOCAO_06","Báo cáo 06","Báo cáo 06","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-report-management/report-06",,"v-2-ctmtqg-report-06",
"1010","1009","1","0","330701","Nộp báo cáo","Nộp báo cáo","1",,,,,,,"1","/#!/admin/v2-nationnal-target/send-report","fa fa-sliders","send-report({objTypeName:'v2-nationnal-target'})",
"1013","1009","4","0","330704","Cấp trên trực tiếp kiểm duyệt","Cấp trên trực tiếp kiểm duyệt","1",,,,,,,"1","/#!/admin/v2-nationnal-target/report-management-ub","fa fa-file-alt","report-management({objTypeName:'v2-nationnal-target'})",
